group,barnes_id,sex,dob,age_at_test_mo,age_cat,strain,data_file,notes,sample_1_east_obj_4_s,sample_1_west_obj_4_s,sample_2_east_obj_19_s,sample_2_west_obj_19_s,test_expl_obj_4_s,test_expl_obj_19_s,test_total_expl_s,disc_rat_total,sufficient_expl,test_first_2min_expl_obj_4_s,test_first_2min_expl_obj_19_s,test_first_2min_total_expl_s,disc_rat_2min,test_first_visit_obj_4
1,10861,M,10/28/2022,6.4,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,50.7,63.39,49.71,48.96,31.74,34.16,65.89999999999999,-0.03672230652503791,TRUE,20.556,20.154,40.71,0.009874723655121617,0
2,10862,M,10/28/2022,6.4,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,43.76,33.16,8.94,12.37,20.8,37.71,58.510000000000005,-0.2890104255682789,TRUE,6.363,16.079,22.442,-0.43293824079850285,0
1,10867,M,11/22/2022,5.6,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,30.75,37.13,33.07,46.07,13.95,11.32,25.27,0.10407597942223977,TRUE,12.866,10.423,23.289,0.10489930868650434,1
2,10868,M,11/22/2022,5.6,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,57.58,71.55,46.07,53.49,39.23,21.62,60.849999999999994,0.2894001643385373,TRUE,23.579,7.761,31.34,0.5047223994894704,0
2,10871,M,12/14/2022,4.8,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,23.32,47.05,18.58,28.08,31.68,43.29,74.97,-0.15486194477791115,TRUE,9.946,11.073,21.019,-0.05361815500261671,1
1,10873,M,12/16/2022,4.8,young,F344xLE,05.08.23_TOR_NARP.males.xlsx,NA,58.35,52.93,45.49,21.59,29.02,29.36,58.379999999999995,-0.00582391229873244,TRUE,15.612,12.239,27.851,0.12110875731571576,0
1,10876,F,10/23/2022,6.8,young,F344xLE,05.15.23_TOR_NARP.females.xlsx,NA,77.95,58.81,28.82,22.56,40.64,29.7,70.34,0.1555302814899062,TRUE,18.6,17.647,36.247,0.02629183104808682,0
1,10877,F,10/23/2022,6.8,young,F344xLE,05.15.23_TOR_NARP.females.xlsx,NA,35.44,61.01,68.93,50.31,28.02,32.5,60.519999999999996,-0.07402511566424323,TRUE,10.663,23.25,33.913,-0.37115560404564624,1
2,10883,F,11/17/2022,6,young,F344xLE,05.15.23_TOR_NARP.females.xlsx,NA,42.16,56.6,36.96,48.36,46.57,28.01,74.58,0.24886028425851434,TRUE,18.599,4.314,22.913,0.623445205778379,1
1,10884,F,11/17/2022,6,young,F344xLE,05.15.23_TOR_NARP.females.xlsx,NA,80.99,48.63,52.22,59.17,29.04,26.72,55.76,0.04160688665710187,TRUE,27.004,8.445,35.449,0.523540861519366,0
1,10892,F,12/16/2022,5,young,F344xLE,05.15.23_TOR_NARP.females.xlsx,NA,52.73,36.2,40.48,46.52,28.03,25.4,53.43,0.04922328279992518,TRUE,17.78,17.056,34.836,0.020783097944654962,1
1,10894,M,8/15/2022,9.3,young,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,28.85,33.03,21.83,29.28,15.86,15.15,31.009999999999998,0.02289584005159623,TRUE,12.117,15.427,27.544,-0.12017136218414169,1
2,10895,M,8/15/2022,9.3,young,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,21.37,23.37,15.24,6.63,6.37,15.7,22.07,-0.4227458087902129,TRUE,6.581,19.055,25.636,-0.4865813699485099,0
1,10896,M,8/15/2022,9.3,young,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,48.82,22.52,34.49,45.69,32.67,13.81,46.480000000000004,0.40576592082616175,TRUE,5.907,1.407,7.314,0.6152584085315833,1
2,10897,M,8/15/2022,9.3,young,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,24.16,22.65,34.74,48.69,1.91,6.38,8.29,-0.5392038600723764,FALSE,1.91,6.38,8.29,-0.5392038600723764,1
1,10898,M,6/14/2021,23.6,old,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,3.21,10.19,2.12,4.1,6.34,7.84,14.18,-0.10578279266572638,FALSE,6.34,7.84,14.18,-0.10578279266572638,0
2,10899,M,6/14/2021,23.6,old,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,10.62,19.84,13.35,14.79,3.24,15.81,19.05,-0.6598425196850394,TRUE,3.24,15.81,19.05,-0.6598425196850394,0
1,10900,M,6/14/2021,23.6,old,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,5.85,9.88,3.66,5.44,6.72,2.63,9.35,0.4374331550802139,FALSE,1.653,2.362,4.015000000000001,-0.17658779576587796,1
2,10901,M,6/14/2021,23.6,old,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,20.98,16.75,4.59,7.69,6.04,6.29,12.33,-0.0202757502027575,FALSE,5.888,5.668,11.556000000000001,0.019037729318103127,0
1,10902,M,6/14/2021,23.6,old,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,59.02,38.82,28.08,38.92,11.8,16.19,27.990000000000002,-0.15684172918899608,TRUE,9.035,6.918,15.953,0.13270231304456842,1
2,10903,M,6/14/2021,23.6,old,F344,05.22.23_TOR_W-Maze.Coh16.xlsx,NA,19.1,19.02,12.24,18.8,7.06,7.88,14.94,-0.05488621151271756,TRUE,1.852,5.495,7.347,-0.4958486457057302,1
1,10909,M,8/7/2022,12.5,young,F344xLE,08.14.23_TOR_NARP.males.xlsx,NA,32.8,29.3,18.63,15.84,10.45,13.59,24.04,-0.1306156405990017,TRUE,4.258,0.887,5.145,0.6551992225461614,1
2,10910,M,8/18/2022,12.1,young,F344xLE,08.14.23_TOR_NARP.males.xlsx,"Objects put on incorrect side during test, accounted for in analysis",10.34,13.17,1.47,8.81,4.48,1.3,5.78,0.5501730103806229,FALSE,4.48,1.3,5.78,0.5501730103806229,1
1,10918,F,8/4/2022,12.8,young,F344xLE,08.21.23_TOR_NARP.females.xlsx,NA,17.23,21.11,29.18,27.43,32.55,20.67,53.22,0.22322435174746327,TRUE,29.717,14.318,44.035,0.34969910298626095,1
2,10919,F,8/4/2022,12.8,young,F344xLE,08.21.23_TOR_NARP.females.xlsx,NA,49.36,44.12,30.23,41.9,20.06,30.06,50.12,-0.19952114924181966,TRUE,18.251,18.757,37.008,-0.013672719412019028,1
1,10920,F,8/6/2022,12.7,young,F344xLE,08.21.23_TOR_NARP.females.xlsx,NA,37.73,33.7,35.6,30.21,29.62,20.95,50.57,0.17144552105991698,TRUE,16.383,20.863,37.245999999999995,-0.12028137249637548,0
2,10928,F,9/28/2022,11,young,F344xLE,08.21.23_TOR_NARP.females.xlsx,NA,25.11,43.95,21.53,31.73,7.77,14.06,21.83,-0.28813559322033905,TRUE,1.441,1.496,2.9370000000000003,-0.018726591760299602,1
1,10929,F,9/29/2022,10.9,young,F344xLE,08.21.23_TOR_NARP.females.xlsx,NA,50.15,35.84,28.23,57.99,24.64,39.83,64.47,-0.2356134636264929,TRUE,16.392,7.64,24.032,0.36418109187749664,1
2,10934,F,10/28/2022,10,young,F344xLE,08.21.23_TOR_NARP.females.xlsx,NA,21.38,32.62,23.82,13.77,6.06,2.41,8.469999999999999,0.4309327036599764,FALSE,6.794,1.649,8.443,0.6093805519365154,1
1,10935,F,10/29/2022,9.9,young,F344xLE,08.21.23_TOR_NARP.females.xlsx,NA,38.63,32.46,25.52,69.39,44.03,32.95,76.98,0.14393348921797866,TRUE,14.984,9.269,24.253,0.2356409516348493,1
1,10939,M,11/1/2021,22.2,old,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,NA,9.01,2.94,19.08,19.68,4.28,2.75,7.03,0.21763869132290187,FALSE,4.114,2.305,6.4190000000000005,0.28181959806823487,0
2,10940,M,11/1/2021,22.2,old,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,NA,12.74,5.44,5.11,6.95,10.77,15.03,25.799999999999997,-0.16511627906976745,TRUE,2.771,8.282,11.053,-0.49859766579209264,0
1,10941,M,11/1/2021,22.2,old,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,NA,21.39,14.04,7.84,11.93,8.97,17.87,26.840000000000003,-0.33159463487332336,TRUE,1.374,0.784,2.1580000000000004,0.27340129749768305,1
2,10942,M,11/1/2021,22.2,old,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,NA,6.91,5.04,20.07,30.28,2.09,2.89,4.98,-0.16064257028112452,FALSE,1.48,2.644,4.1240000000000006,-0.28225024248302616,1
1,10943,M,11/1/2021,22.2,old,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,NA,27.55,15.96,6.19,16.82,7.9,13.28,21.18,-0.2540132200188857,TRUE,3.808,9.43,13.238,-0.4246865085360326,0
2,10944,M,11/1/2021,22.2,old,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,NA,36.5,41.2,20.02,24.28,22.66,16.69,39.35,0.15171537484116895,TRUE,6.837,9.611,16.448,-0.1686527237354086,1
1,10945,M,11/1/2021,22.2,old,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,NA,39.79,17.7,34.13,24.49,13.29,17.57,30.86,-0.1386908619572262,TRUE,11.18,2.047,13.227,0.6904815906857186,0
2,10946,M,11/1/2021,22.2,old,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,NA,31.61,22.84,28.52,20.04,12.41,11.05,23.46,0.057971014492753596,TRUE,8,7.081,15.081,0.06093760360718783,0
1,10947,M,11/1/2021,22.2,old,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,NA,21.5,18.74,2.09,1.9,6.04,7.09,13.129999999999999,-0.07996953541507996,FALSE,0.66,5.839,6.4990000000000006,-0.7968918295122326,0
2,10948,M,11/1/2021,22.2,old,F344,08.28.23_TOR_Wmaze.Coh17.xlsx,NA,18.58,26.74,6.78,12.82,2.5,0.87,3.37,0.48367952522255186,FALSE,2.076,0.663,2.739,0.515881708652793,1
1,10949,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,12.5,8.28,19.92,35.54,10.76,5.65,16.41,0.31139549055453986,TRUE,10.76,3.412,14.172,0.5184871577758962,0
2,10950,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,7.49,6.98,14.34,22.38,0,15.15,15.15,-1,TRUE,0,15.15,15.15,-1,0
1,10951,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,27.16,11,18.05,18.48,6.49,7.13,13.620000000000001,-0.04698972099853154,TRUE,6.207,6.281,12.488,-0.005925688661114658,0
2,10952,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,32.75,26.11,11.62,9.16,13.51,1.91,15.42,0.7522697795071336,TRUE,0,1.58,1.58,-1,0
1,10953,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,19.57,6.12,1.65,0,4.53,1.84,6.37,0.4222919937205652,FALSE,5.024,1.479,6.503,0.5451330155312932,1
2,10954,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,4.53,12.41,2.69,7.82,0,0,0,NA,FALSE,0,0.774,0.774,-1,0
1,10955,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,21.87,21.41,30.72,18.27,25.86,17.49,43.349999999999994,0.19307958477508655,TRUE,0.64,3.864,4.504,-0.7158081705150977,0
2,10956,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,22,24.48,7.47,31.45,3.91,10.7,14.61,-0.4647501711156742,TRUE,3.825,6.401,10.225999999999999,-0.2519069039702718,0
1,10957,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,13.7,18.06,6.44,14.85,83.6,1.8,85.39999999999999,0.9578454332552694,TRUE,12.179,1.272,13.451,0.810869080365772,0
2,10958,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,14.43,21.64,0,0,8.23,20.54,28.77,-0.4278762599930483,FALSE,4.539,20.374,24.912999999999997,-0.6356119295147112,0
1,10959,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,39.42,35.22,6.1,26.87,4.15,13.5,17.65,-0.5297450424929179,TRUE,3.349,9.657,13.006,-0.4850069198831308,0
2,10960,F,12/1/2021,22.2,old,F344,09.27.23_TOR_AgedFemaleF344.xlsx,NA,26.32,36.8,10.57,10.98,7.39,9.24,16.63,-0.11124473842453401,TRUE,1.345,6.052,7.396999999999999,-0.6363390563742058,1
